Institución,Título de la tesis,Nombre del tesista,Grado,Nombre del asesor,Resumen,Año
Pontificia Universidad Católica del Perú. Escuela de Posgrado.,Estimación del ciclo financiero utilizando métodos de análisis exploratorios: aplicación a Perú en el periodo 2000-2021,"Atoche Murrieta, Lilian Katherine",Magíster en Estadística,"Camiz, Sergio","La presente tesis tiene por objetivo identificar el ciclo financiero del Perú utilizando series temporales financieras como por ejemplo tasas de interés activas y pasivas, monto de ahorro total en el sistema financiero, la liquidez de las entidades financieras, entre otros. La información tiene frecuencia mensual y abarca los periodos 2000-2021. Para determinar el ciclo financiero se utilizan técnicas de análisis exploratorias. Primero empezamos con el análisis de componentes principales el cual nos permitió identificar si existe componentes comunes entre las variables. Luego utilizamos una clasificación jerárquica (HFC por sus siglas en inglés) para agrupar las variables en grupos homogéneos. Este análisis nos permitó asociar a cada grupo una variable representativa el cual permitió identificar los componentes del ciclo financiero. Finalmente utilizamos una tercera técnica exploratoria conocida como análisis evolutivo el cual tiene por objetivo identificar si la correlación de las series varía a lo largo del tiempo. Los resultados del análisis exploratorio confirman la existencia de tres componentes del ciclo financiero. El primer componente identifica el componente de larga duración del ciclo financiero. Este componente mide la evolución del sistema financiero a lo largo del tiempo. El segundo componente mide la evolución de las tasas activas y pasivas en el sistema financiero el cual es un componente de mediano plazo. El tercer componente podemos asociarlo con la volatilidad que tiene el mercado financiero peruano.",2022-09-22
Pontificia Universidad Católica del Perú. Escuela de Posgrado.,Método para la fusión de categorías usando técnicas de agrupamiento,"Farro Diaz, Victor Daniel",Magíster en Estadística,"Bayes Rodriguez, Cristian Luis","En la actualidad, muchas organizaciones disponen o tienen acceso a una gran cantidad y variedad de datos que les permiten tomar decisiones acordes en temas económicos, sociales, de educación, de salud, entre otros. Con frecuencia, los estudios que se realizan se enfocan en el objetivo de explicar una variable de interés utilizando un conjunto de variables explicativas; y si la relación de dependencia es lineal, se le conoce como modelo de regresión lineal. Los modelos de regresión lineal presentan su principal reto en la estimación de los parámetros de la regresión, que se consiguen a partir de la información obtenida mediante el análisis de las observaciones de una muestra previamente recogida. La complejidad de los modelos de regresión lineal aumenta con la existencia de covariables que son medidas en una escala nominal u ordinal, y que en muchas ocasiones presentan una gran cantidad de categorías, como por ejemplo: estado civil, grupo sanguíneo, entre otros. Lo habitual para modelar el efecto total de una covariable categórica es definir una categoría (o nivel) como línea base y utilizar variables ficticias para las otras categorías (o niveles).
La presente tesis tiene como principal objetivo el desarrollo del método de fusión de efectos de covariables categóricas usando técnicas de agrupamiento PAM, propuesto por Malsiner-Walli, Pauger y Wagner (2018), y aplicarlo en un conjunto de datos reales relacionados a los ingresos monetarios de la población de Lima Metropolitana y Callao del primer trimestre del 2020.",2022-04-28
Pontificia Universidad Católica del Perú. Escuela de Posgrado.,Redes neuronales convolucionales para datos composicionales: Una aplicación a la industria textil de la moda,"Cotacallapa Amanqui, Pavel Arturo",Magíster en Estadística,"Benites Sanchez, Luis Enrique","En muchas situaciones prácticas es necesario el uso de modelos que puedan predecir una colección
de datos limitados por un intervalo cuya suma sea una constante por cada unidad estadística.
Este tipo de variable respuesta se conoce como datos composicionales. Por otro lado, el número de
covariables que se usan para el entrenamiento de este tipo de modelos pueden provenir de datos
asociados a imágenes como la intensidad de los pixeles. En ese contexto, se propone el uso de las
redes neuronales convolucionales como una primera alternativa para intentar estimar este tipo de
variable respuesta. Se utiliza la distribución de Dirichlet como distribución condicional de los datos
y  nalmente se propone una aplicación del modelo utilizando imágenes de prendas de vestir que se
venden por catálogo en donde el objetivo es predecir las participaciones de las tallas que se venden
por cada unidad estadística.",2022-04-07
Pontificia Universidad Católica del Perú. Escuela de Posgrado.,Modelo de regresión cuantílica para respuestas positivas con censura intervalar,"Manrique Urbina, Justo Andrés",Magíster en Estadística,"Bayes Rodriguez, Cristian Luis","La presente tesis propone un modelo de regresi on cuant  lica en d onde la variable es no
negativa y posee censura intervalar, es decir que esta no es directamente observable, y la  unica
informaci on que se conoce sobre ella es que se encuentra en cierto intervalo. Para evaluar si
la metodolog  a de estimaci on captura adecuadamente los par ametros poblacionales desde el
punto de vista de la inferencia cl asica, se desarrolla un estudio de simulaci on. Finalmente, se
aplica el modelo a los datos de la Encuesta Nacional de Satisfacci on de Salud ejecutada el
a~no 2015. La estructura del modelo permite evaluar los factores relacionados al sueldo de los
profesionales en salud (el cual hab  a sido censurado desde el proceso de recolecci on de datos).
El presente modelo es una extensi on al modelo de regresi on de censura intervalar expuesto
en Sal y Rosas et al. (2019), pues eval ua los factores subyacentes a una variable respuesta a
lo largo de sus cuantiles.",2022-03-21
Pontificia Universidad Católica del Perú. Escuela de Posgrado.,Clasiﬁcación de riesgo para frecuencias y severidades en un seguro de automóviles usando modelos GAMLSS,"Hernández Bello, Diana Patricia",Magíster en Estadística,"Valdivieso Serrano, Luis Hilmar","En la tariﬁcación de seguros generales, en particular en seguros de vehículos, es valioso incorporar toda la información disponible del asegurado, del bien asegurado y de los siniestros que se han presentado, con el ﬁn de obtener modelos que consideren las variables relevantes en la estimación y así generar una prima de riesgo adecuada para el riesgo que se está analizando.
Los modelos a considerar están construidos con base en las reclamaciones que ha presentado el asegurado y su estimaci´on se obtiene mediante distribuciones del número y monto de siniestros dando como resultado tarifas que incluyen recargos y descuentos en base a la experiencia siniestral, lo que se conoce como Sistema Bonus-Malus. Adicionalmente se han analizado modelos de regresión que incluyen información tanto del asegurado como del vehículo y cuya estimación de la prima de riesgo se realiza a través de la media tanto de la frecuencia como de la severidad. Sin embargo, dado que los riesgos en la cartera expuesta son heterogéneos, se plantean también modelos de regresión en los que la estimación de la frecuencia y la severidad se realiza a través de parámetros como: la media, la varianza, el sesgo y la curtosis, estos últimos son denominados modelos aditivos generalizados de localización, escala y forma (GAMLSS).",2022-03-16
Pontificia Universidad Católica del Perú. Escuela de Posgrado.,Approximate bayesian inference for directed acyclic graph autoregressive models,"Buendía Narváez, Julio César",Magíster en Estadística,"Quiroz Cornejo, Zaida Jesús","La prevalencia de enfermedades epidemiológicas recolectadas en áreas geográficamente limitadas, como distritos o provincias, son cruciales para la toma de decisiones en salud pública. Usualmente esta variable respuesta presenta dependencia espacial, es decir, es similar en áreas vecinas, debido a la naturaleza de la enfermedad, clima, nivel económico y cultural, entre otras razones. En este sentido, se proponen modelos espaciales de datos áreas para identificar tendencias y factores asociados a enfermedades epidemiológicas, tomando en cuenta la dependencia espacial entre áreas geográficas. Por lo general, estos modelos ajustan a la dependencia espacial a través de efectos aleatorios derivados a través de grafos. En particular, el modelo autorregresivo de gráfico acíclico dirigido (DAGAR) se basa en un grafo acíclico dirigido y algunos efectos aleatorios \del pasado"". Como consecuencia, la matriz de precisión (inversa de la covarianza) del modelo es dispersa. Este modelo tiene una interpretación intuitiva de los parámetros asociados con la dependencia espacial y se puede representar como un modelo gaussiano latente. En este contexto, en esta tesis se propone implementar el modelo DAGAR a través del método de inferencia bayesiano aproximado INLA que es determinista, bastante preciso y eficiente. Dentro de este enfoque, la estimación de datos grandes se puede realizar en segundos o minutos, y permite ajustar los datos con distribución gaussiana o no gaussiana. Finalmente, para mostrar el aporte de esta propuesta, el modelo DAGAR se ajusta a datos reales.",2022-02-02
Pontificia Universidad Católica del Perú. Escuela de Posgrado.,Fusión de efectos para modelos de regresión con respuesta positiva bajo un enfoque bayesiano,"Dongo Román, Andie Bryan",Magíster en Estadística,"Bayes Rodriguez, Cristian Luis","El presente trabajo tiene como objetivo adaptar el modelo bayesiano para fusión de efectos presentado por Pauger y Wagner (2019), de tal manera que sea adecuado para modelos de regresión con respuesta positiva bajo una distribución gamma. El modelo plantea como distribución a priori de los coeficientes de cada covariable cualitativa a una normal multivariada, deducida a partir de una distribución a priori spike y slab para la diferencia de cada par de efectos, cuya matriz de precisión permite conocer qué niveles pueden fusionarse.
La estructura de la matriz de precisión depende de un hiperparámetro que permite estimar las probabilidades de fusión a posteriori entre cada par de niveles, con las cuales se pueden agrupar aquellos niveles con efectos similares mediante la función de pérdida de Binder. La estimación a posteriori del modelo es realizada con métodos MCMC utilizando el programa JAGS en R.
Se aplicó la metodología a un conjunto de datos reales extraído de la Encuesta Nacional de Hogares (ENAHO) del año 2019, donde se pudo verificar la existencia de una brecha salarial por etnicidad en los entrevistados de la macro región sur del Perú. Así mismo, se incluyó en el caso aplicativo a la interacción entre los efectos de la etnicidad y el sexo, revelándose que la brecha por género existente es mayor en la población aymara y en la no indígena, en comparación con la población quechua.",2022-01-10
Pontificia Universidad Católica del Perú. Escuela de Posgrado.,Identificación de conglomerados espaciales de acuerdo a niveles de morosidad de empresas en el Perú,"Tristán Gómez, Alex Edward",Magíster en Estadística,"Quiroz Cornejo, Zaida Jesús","El cumplimiento de las obligaciones  financieras que tienen las empresas es respaldado por
una correcta gestión de riesgo de crédito, esto evita problemas de liquidez y solvencia. Por
ello es importante detectar los niveles de riesgo de morosidad en las empresas. La presente
tesis tiene como objetivo identifi car conglomerados de provincias del Perú, en funciona de la
tasa de incumplimiento de pagos, conocida también como la tasa de morosidad. Para ello se
propone un modelamiento en dos niveles. En el primer nivel se usan modelos aglomerativos
jerárquicos para seleccionar n conglomerados candidatos a priori, donde el número fi nal de
conglomerados se escoge mediante criterios de selección de modelos. Posteriormente, en un
segundo nivel, modelaremos el nivel de riesgo haciendo uso del modelo de Poisson y prioris
condicionales autoregresivas en base a los conglomerados de nidos en el primer nivel e incluyendo
covariables. Los modelos pueden ser reescritos como modelos Gaussianos latentes, y se
puede usar inferencia bayesiana para estimar sus parámetros, específicamente a través de la
aproximación de Laplace anidada integrada. Finalmente, como resultado de la aproximación
se obtienen conglomerados de provincias de acuerdo a sus niveles de morosidad, permitiendo
clasi ficar las provincias en conglomerado de alto, medio y bajo nivel de riesgo de morosidad.",2021-11-07
Pontificia Universidad Católica del Perú. Escuela de Posgrado.,Mixtura finita de una distribución Birnbaum-Saunders basado en la familia de mixtura en parámetros de escala de distribuciones normal asimétrica,"Gavidia Pucllas, Daniel Elías",Magíster en Estadística,"Benites Sánchez, Luis Enrique","La presente tesis muestra la distribución mixtura de distribuciones Birnbaum-Saunders basados en mixturas de escala normal asimétrica (MF-BS-MENA). Este modelo es una extensión a la propuesta de Maehara (2018a) para datos unimodales basados en distribuciones con mixtura de escala normal asimétrica utilizada para modelar datos con percentiles extremos y altamente concentrados a la izquierda de la distribución. El modelo propuesto permite modelar datos con dos o más componentes de mixtura de distribuciones asimétricas como la t de Student asimétrica (TA), la Slash asimétrica (SLA), y la normal contaminada asimétrica (NCA). Para estimar los parámetros del modelo propuesto se presenta un método de estimación basado en el algoritmo de maximización condicional de la esperanza (una extensión del algoritmo EM). Además, se desarrollan simulaciones que muestran la precisión de las estimaciones y los errores estándar. Por último, se realizan aplicaciones con un conjunto de datos reales.",2021-10-06
Pontificia Universidad Católica del Perú. Escuela de Posgrado.,Modelo de regresión no lineal basado en una mixtura de la distribución senh-normal/independiente en el error,"Ocampo Corrales, Carlos Iván",Magíster en Estadística,"Benites Sánchez, Luis Enrique","La distribución normal, si bien útil para explicar la distribución de muchos conjuntos
de datos, a veces es inadecuada para ello. En este sentido, en muchos casos es conveniente
trabajar con transformaciones de la distribución normal por ejemplo log-normal, Birnbaum-
Saunders (BS) y Senh-Normal (SN). En esta tesis se presenta un modelo de regresión no lineal
basado en una mixtura  finita de distribuciones Senh-Normal/Independiente (SNI) en el error
considerando dos casos específicos de esta distribución, SN y Senh-t-Student (SSt), respectivamente.
En el contexto de regresión se plantea una metodología de estimación mediante la
aplicación del algoritmo EM y también para el cálculo de los errores estándar.
Se realizaron estudios de simulación para evaluar las propiedades de las estimaciones. Los
resultados muestran que el modelo estima de manera satisfactoria los parámetros, más aún,
evaluando el sesgo y el RSME de las estimaciones se observa que el modelo cumple con las
propiedades asintóticas de los estimadores de máxima verosimilitud. Asimismo, se realizaron
estudios de aplicación tanto para el modelo SN como SSt.",2021-09-22
