Institución,Título de la tesis,Nombre del tesista,Grado,Nombre del asesor,Resumen,Año
Pontificia Universidad Católica del Perú. Escuela de Posgrado.,Estimación del ciclo financiero utilizando métodos de análisis exploratorios: aplicación a Perú en el periodo 2000-2021,"Atoche Murrieta, Lilian Katherine",Magíster en Estadística,"Camiz, Sergio","The objective of this thesis is to identify the financial cycle of Peru using financial time series such as active and passive interest rates, total savings amount in the financial system, liquidity of financial entities, among others. The information is monthly and covers the periods 2000-2021. Exploratory analysis techniques are used to determine the financial cycle. We first started with the principal components analysis which allowed us to identify if there are common components among the variables. We then use a hierarchical classification (HFC) to group the variables into homogeneous groups. This analysis allowed us to associate each group with a representative variable which allowed us to identify the components of the fi- nancial cycle. Finally, we use a third exploratory technique known as evolutionary analysis, which aims to identify whether the correlation of the series varies over time. The results of the exploratory analysis confirm the existence of three components of the financial cycle. The first component identifies the long-term component of the financial cycle. This component measures the evolution of the financial system over time. The second component measures the evolution of lending and deposit rates in the financial system, which is a medium-term component. The third component can be associated with the volatility of the Peruvian fi- nancial market.",2022-09-22
Pontificia Universidad Católica del Perú. Escuela de Posgrado.,Método para la fusión de categorías usando técnicas de agrupamiento,"Farro Diaz, Victor Daniel",Magíster en Estadística,"Bayes Rodriguez, Cristian Luis","En la actualidad, muchas organizaciones disponen o tienen acceso a una gran cantidad y variedad de datos que les permiten tomar decisiones acordes en temas económicos, sociales, de educación, de salud, entre otros. Con frecuencia, los estudios que se realizan se enfocan en el objetivo de explicar una variable de interés utilizando un conjunto de variables explicativas; y si la relación de dependencia es lineal, se le conoce como modelo de regresión lineal. Los modelos de regresión lineal presentan su principal reto en la estimación de los parámetros de la regresión, que se consiguen a partir de la información obtenida mediante el análisis de las observaciones de una muestra previamente recogida. La complejidad de los modelos de regresión lineal aumenta con la existencia de covariables que son medidas en una escala nominal u ordinal, y que en muchas ocasiones presentan una gran cantidad de categorías, como por ejemplo: estado civil, grupo sanguíneo, entre otros. Lo habitual para modelar el efecto total de una covariable categórica es definir una categoría (o nivel) como línea base y utilizar variables ficticias para las otras categorías (o niveles).
La presente tesis tiene como principal objetivo el desarrollo del método de fusión de efectos de covariables categóricas usando técnicas de agrupamiento PAM, propuesto por Malsiner-Walli, Pauger y Wagner (2018), y aplicarlo en un conjunto de datos reales relacionados a los ingresos monetarios de la población de Lima Metropolitana y Callao del primer trimestre del 2020.",2022-04-28
Pontificia Universidad Católica del Perú. Escuela de Posgrado.,Redes neuronales convolucionales para datos composicionales: Una aplicación a la industria textil de la moda,"Cotacallapa Amanqui, Pavel Arturo",Magíster en Estadística,"Benites Sanchez, Luis Enrique","En muchas situaciones prácticas es necesario el uso de modelos que puedan predecir una colección
de datos limitados por un intervalo cuya suma sea una constante por cada unidad estadística.
Este tipo de variable respuesta se conoce como datos composicionales. Por otro lado, el número de
covariables que se usan para el entrenamiento de este tipo de modelos pueden provenir de datos
asociados a imágenes como la intensidad de los pixeles. En ese contexto, se propone el uso de las
redes neuronales convolucionales como una primera alternativa para intentar estimar este tipo de
variable respuesta. Se utiliza la distribución de Dirichlet como distribución condicional de los datos
y  nalmente se propone una aplicación del modelo utilizando imágenes de prendas de vestir que se
venden por catálogo en donde el objetivo es predecir las participaciones de las tallas que se venden
por cada unidad estadística.",2022-04-07
Pontificia Universidad Católica del Perú. Escuela de Posgrado.,Modelo de regresión cuantílica para respuestas positivas con censura intervalar,"Manrique Urbina, Justo Andrés",Magíster en Estadística,"Bayes Rodriguez, Cristian Luis","La presente tesis propone un modelo de regresi on cuant  lica en d onde la variable es no
negativa y posee censura intervalar, es decir que esta no es directamente observable, y la  unica
informaci on que se conoce sobre ella es que se encuentra en cierto intervalo. Para evaluar si
la metodolog  a de estimaci on captura adecuadamente los par ametros poblacionales desde el
punto de vista de la inferencia cl asica, se desarrolla un estudio de simulaci on. Finalmente, se
aplica el modelo a los datos de la Encuesta Nacional de Satisfacci on de Salud ejecutada el
a~no 2015. La estructura del modelo permite evaluar los factores relacionados al sueldo de los
profesionales en salud (el cual hab  a sido censurado desde el proceso de recolecci on de datos).
El presente modelo es una extensi on al modelo de regresi on de censura intervalar expuesto
en Sal y Rosas et al. (2019), pues eval ua los factores subyacentes a una variable respuesta a
lo largo de sus cuantiles.",2022-03-21
Pontificia Universidad Católica del Perú. Escuela de Posgrado.,Clasiﬁcación de riesgo para frecuencias y severidades en un seguro de automóviles usando modelos GAMLSS,"Hernández Bello, Diana Patricia",Magíster en Estadística,"Valdivieso Serrano, Luis Hilmar","En la tariﬁcación de seguros generales, en particular en seguros de vehículos, es valioso incorporar toda la información disponible del asegurado, del bien asegurado y de los siniestros que se han presentado, con el ﬁn de obtener modelos que consideren las variables relevantes en la estimación y así generar una prima de riesgo adecuada para el riesgo que se está analizando.
Los modelos a considerar están construidos con base en las reclamaciones que ha presentado el asegurado y su estimaci´on se obtiene mediante distribuciones del número y monto de siniestros dando como resultado tarifas que incluyen recargos y descuentos en base a la experiencia siniestral, lo que se conoce como Sistema Bonus-Malus. Adicionalmente se han analizado modelos de regresión que incluyen información tanto del asegurado como del vehículo y cuya estimación de la prima de riesgo se realiza a través de la media tanto de la frecuencia como de la severidad. Sin embargo, dado que los riesgos en la cartera expuesta son heterogéneos, se plantean también modelos de regresión en los que la estimación de la frecuencia y la severidad se realiza a través de parámetros como: la media, la varianza, el sesgo y la curtosis, estos últimos son denominados modelos aditivos generalizados de localización, escala y forma (GAMLSS).",2022-03-16
Pontificia Universidad Católica del Perú. Escuela de Posgrado.,Approximate bayesian inference for directed acyclic graph autoregressive models,"Buendía Narváez, Julio César",Magíster en Estadística,"Quiroz Cornejo, Zaida Jesús","The prevalence of epidemiological diseases collected in geographically limited areas, such
as districts or provinces, are crucial for making public health decisions. It is common that
this response variable presents spatial dependence, that is, it is similar in neighboring areas,
due to the nature of the disease, weather, economy and cultural level, among other reasons.
In this sense, spatial models for areal data are proposed to identify trends and factors associated
with epidemiological diseases, taking into account the spatial dependence between
geographic areas. Usually, these models  t the spatial dependence through spatial random
e ects built from graphs and conditional distributions. In particular, the directed acyclic
graph autoregressive (DAGAR) model is based on a directed acyclic graph and some \past""
random e ects. As a consequence, the precision matrix (inverse of the covariance) of the
model is sparse. This model has an intuitive interpretation of the parameters associated
with spatial dependence and can be represented as a latent Gaussian model. In this context,
we propose in this project to implement the DAGAR model throughout the approximate
Bayesian inference method INLA which is deterministic, quite accurate and e cient. Within
this approach, estimation of large data can be carried out in seconds or minutes, and it allows
to  t data following a Gaussian distribution or non-Gaussian distributions. Finally, in order
to show the contribution of this proposal, the DAGAR model will be  tted to real data.",2022-02-02
Pontificia Universidad Católica del Perú. Escuela de Posgrado.,Fusión de efectos para modelos de regresión con respuesta positiva bajo un enfoque bayesiano,"Dongo Román, Andie Bryan",Magíster en Estadística,"Bayes Rodriguez, Cristian Luis","El presente trabajo tiene como objetivo adaptar el modelo bayesiano para fusión de efectos presentado por Pauger y Wagner (2019), de tal manera que sea adecuado para modelos de regresión con respuesta positiva bajo una distribución gamma. El modelo plantea como distribución a priori de los coeficientes de cada covariable cualitativa a una normal multivariada, deducida a partir de una distribución a priori spike y slab para la diferencia de cada par de efectos, cuya matriz de precisión permite conocer qué niveles pueden fusionarse.
La estructura de la matriz de precisión depende de un hiperparámetro que permite estimar las probabilidades de fusión a posteriori entre cada par de niveles, con las cuales se pueden agrupar aquellos niveles con efectos similares mediante la función de pérdida de Binder. La estimación a posteriori del modelo es realizada con métodos MCMC utilizando el programa JAGS en R.
Se aplicó la metodología a un conjunto de datos reales extraído de la Encuesta Nacional de Hogares (ENAHO) del año 2019, donde se pudo verificar la existencia de una brecha salarial por etnicidad en los entrevistados de la macro región sur del Perú. Así mismo, se incluyó en el caso aplicativo a la interacción entre los efectos de la etnicidad y el sexo, revelándose que la brecha por género existente es mayor en la población aymara y en la no indígena, en comparación con la población quechua.",2022-01-10
Pontificia Universidad Católica del Perú. Escuela de Posgrado.,Identificación de conglomerados espaciales de acuerdo a niveles de morosidad de empresas en el Perú,"Tristán Gómez, Alex Edward",Magíster en Estadística,"Quiroz Cornejo, Zaida Jesús","Compliance with the  nancial obligations of companies is ensured by proper credit risk
management, this avoids liquidity and solvency problems. For this reason, it is important to
identify the risk level of default in peruvian companies. The goal of this thesis is to identify
clusters of provinces of Per u with regard to the default rate of payments, also known as
probability of default. Thus it is proposed a model in two stages. In the  rst stage hierarchical
agglomerative models select prior candidate clusters, and the  nal number of clusters is
selected through selection criteria of models. In the second stage it is proposed the Poisson
model considering autoregressive conditional prioris, the clusters de ned in the  rst stage,
and also including covariates. This model  ll in the class of Gaussian latent models, therfore
its paremeters were estimated using bayesian inference, speci cally through integrated nested
Laplace approximation. Finally, as a result, we found clusters in accordance with the default
level, allowing to classify provinces into clusters of high, medium and low risk level.",2021-11-07
Pontificia Universidad Católica del Perú. Escuela de Posgrado.,Mixtura finita de una distribución Birnbaum-Saunders basado en la familia de mixtura en parámetros de escala de distribuciones normal asimétrica,"Gavidia Pucllas, Daniel Elías",Magíster en Estadística,"Benites Sánchez, Luis Enrique","The following thesis presents the  nite mixtures of Birbaums-Saunders distributions based
on the scale mixture of skew-normal distributions, which are called FM-BS-SMSN. This
model is an extension of Maehara (2018a) study of unimodal data based on scale mixture
of skew-normal distributions which are used to model extreme percentiles in the left-tail of
the distribution. The proposed model can  t two or more mixture of components of skewed
distributions like Skew-t, Skew-slash, and skew-contaminated normal. The proposed method
to accomplish the estimation of model parameters is the expectation of conditional maximization
(an extension of EM algorithm). Moreover, simulations and applications are presented
to illustrate the robustness of the proposed estimation method and standar errors. Finally,
the last chapter presents an aplication for real data sets.",2021-10-06
Pontificia Universidad Católica del Perú. Escuela de Posgrado.,Modelo de regresión no lineal basado en una mixtura de la distribución senh-normal/independiente en el error,"Ocampo Corrales, Carlos Iván",Magíster en Estadística,"Benites Sánchez, Luis Enrique","La distribución normal, si bien útil para explicar la distribución de muchos conjuntos
de datos, a veces es inadecuada para ello. En este sentido, en muchos casos es conveniente
trabajar con transformaciones de la distribución normal por ejemplo log-normal, Birnbaum-
Saunders (BS) y Senh-Normal (SN). En esta tesis se presenta un modelo de regresión no lineal
basado en una mixtura  finita de distribuciones Senh-Normal/Independiente (SNI) en el error
considerando dos casos específicos de esta distribución, SN y Senh-t-Student (SSt), respectivamente.
En el contexto de regresión se plantea una metodología de estimación mediante la
aplicación del algoritmo EM y también para el cálculo de los errores estándar.
Se realizaron estudios de simulación para evaluar las propiedades de las estimaciones. Los
resultados muestran que el modelo estima de manera satisfactoria los parámetros, más aún,
evaluando el sesgo y el RSME de las estimaciones se observa que el modelo cumple con las
propiedades asintóticas de los estimadores de máxima verosimilitud. Asimismo, se realizaron
estudios de aplicación tanto para el modelo SN como SSt.",2021-09-22
